original_index,imageid,predicted_category,true_category,predicted_category_name,true_category_name
0,img_0,1140,1301,TV,Consoles rétro
1,img_1,2060,1560,Articles soins,Photos
2,img_2,1300,2583,Jeux vidéo ancien,Articles sport
4,img_4,10,2403,Livres,Livres en langues étrangères
5,img_5,40,10,DVD & Films,Livres
8,img_8,1140,40,TV,DVD & Films
10,img_10,2522,1280,Équipement bébé,Accessoires téléphones
11,img_11,2705,2280,Accessoires console,Jeux vidéo
12,img_12,2060,2522,Articles soins,Équipement bébé
15,img_15,1280,1560,Accessoires téléphones,Photos
17,img_17,2403,1920,Livres en langues étrangères,Musique amplifiée
19,img_19,1320,2585,CD,Sports & Loisirs
20,img_20,2060,1280,Articles soins,Accessoires téléphones
23,img_23,2403,1281,Livres en langues étrangères,Téléphonie fixe
25,img_25,2522,1560,Équipement bébé,Photos
26,img_26,2705,2403,Accessoires console,Livres en langues étrangères
28,img_28,2403,2280,Livres en langues étrangères,Jeux vidéo
29,img_29,1302,2583,Jeux vidéo rétro,Articles sport
33,img_33,1281,2280,Téléphonie fixe,Jeux vidéo
36,img_36,2280,1160,Jeux vidéo,Électroménager
38,img_38,2060,1920,Articles soins,Musique amplifiée
39,img_39,1281,2060,Téléphonie fixe,Articles soins
40,img_40,40,1140,DVD & Films,TV
41,img_41,50,1300,Jouets & Jeux,Jeux vidéo ancien
42,img_42,10,2705,Livres,Accessoires console
45,img_45,60,50,Consoles,Jouets & Jeux
46,img_46,2403,1140,Livres en langues étrangères,TV
47,img_47,50,2583,Jouets & Jeux,Articles sport
52,img_52,1320,1560,CD,Photos
54,img_54,2583,2582,Articles sport,Matériel & accessoires
56,img_56,2582,1302,Matériel & accessoires,Jeux vidéo rétro
59,img_59,2280,40,Jeux vidéo,DVD & Films
61,img_61,2060,2403,Articles soins,Livres en langues étrangères
64,img_64,2585,2583,Sports & Loisirs,Articles sport
66,img_66,2582,1920,Matériel & accessoires,Musique amplifiée
68,img_68,2060,2585,Articles soins,Sports & Loisirs
71,img_71,2060,2583,Articles soins,Articles sport
72,img_72,1280,1920,Accessoires téléphones,Musique amplifiée
74,img_74,10,2280,Livres,Jeux vidéo
77,img_77,2585,2583,Sports & Loisirs,Articles sport
81,img_81,2280,10,Jeux vidéo,Livres
84,img_84,2060,2522,Articles soins,Équipement bébé
87,img_87,1560,1300,Photos,Jeux vidéo ancien
88,img_88,2462,1160,Fournitures bureau,Électroménager
91,img_91,1300,1280,Jeux vidéo ancien,Accessoires téléphones
92,img_92,2585,2583,Sports & Loisirs,Articles sport
93,img_93,2582,1560,Matériel & accessoires,Photos
94,img_94,2585,1301,Sports & Loisirs,Consoles rétro
95,img_95,50,2462,Jouets & Jeux,Fournitures bureau
101,img_101,2585,1320,Sports & Loisirs,CD
102,img_102,1281,1280,Téléphonie fixe,Accessoires téléphones
103,img_103,2522,1320,Équipement bébé,CD
105,img_105,2585,50,Sports & Loisirs,Jouets & Jeux
106,img_106,60,2583,Consoles,Articles sport
111,img_111,2462,2280,Fournitures bureau,Jeux vidéo
114,img_114,2403,1281,Livres en langues étrangères,Téléphonie fixe
118,img_118,50,1300,Jouets & Jeux,Jeux vidéo ancien
119,img_119,10,2705,Livres,Accessoires console
120,img_120,2220,2522,Puériculture,Équipement bébé
125,img_125,2522,1300,Équipement bébé,Jeux vidéo ancien
132,img_132,2060,1560,Articles soins,Photos
134,img_134,1560,2060,Photos,Articles soins
135,img_135,1301,2585,Consoles rétro,Sports & Loisirs
136,img_136,1140,1280,TV,Accessoires téléphones
141,img_141,2462,2280,Fournitures bureau,Jeux vidéo
142,img_142,40,60,DVD & Films,Consoles
143,img_143,1320,1560,CD,Photos
145,img_145,1300,1280,Jeux vidéo ancien,Accessoires téléphones
148,img_148,1300,1140,Jeux vidéo ancien,TV
156,img_156,1280,2582,Accessoires téléphones,Matériel & accessoires
160,img_160,1302,2220,Jeux vidéo rétro,Puériculture
168,img_168,2060,1560,Articles soins,Photos
169,img_169,2705,2280,Accessoires console,Jeux vidéo
173,img_173,1140,2060,TV,Articles soins
175,img_175,2220,2060,Puériculture,Articles soins
176,img_176,50,2583,Jouets & Jeux,Articles sport
180,img_180,10,2403,Livres,Livres en langues étrangères
183,img_183,2403,2280,Livres en langues étrangères,Jeux vidéo
184,img_184,1280,1300,Accessoires téléphones,Jeux vidéo ancien
185,img_185,1560,2582,Photos,Matériel & accessoires
186,img_186,1320,1302,CD,Jeux vidéo rétro
189,img_189,1302,2583,Jeux vidéo rétro,Articles sport
192,img_192,1302,1281,Jeux vidéo rétro,Téléphonie fixe
194,img_194,2585,40,Sports & Loisirs,DVD & Films
196,img_196,2522,40,Équipement bébé,DVD & Films
197,img_197,2462,2280,Fournitures bureau,Jeux vidéo
198,img_198,2403,2280,Livres en langues étrangères,Jeux vidéo
199,img_199,40,2403,DVD & Films,Livres en langues étrangères
200,img_200,1302,1560,Jeux vidéo rétro,Photos
203,img_203,1320,2583,CD,Articles sport
204,img_204,2582,1280,Matériel & accessoires,Accessoires téléphones
206,img_206,2060,1920,Articles soins,Musique amplifiée
207,img_207,2462,50,Fournitures bureau,Jouets & Jeux
208,img_208,2582,1920,Matériel & accessoires,Musique amplifiée
209,img_209,10,2403,Livres,Livres en langues étrangères
212,img_212,50,2583,Jouets & Jeux,Articles sport
215,img_215,1320,2522,CD,Équipement bébé
216,img_216,40,60,DVD & Films,Consoles
220,img_220,2220,1560,Puériculture,Photos
222,img_222,2705,2403,Accessoires console,Livres en langues étrangères
223,img_223,50,1320,Jouets & Jeux,CD
225,img_225,10,1281,Livres,Téléphonie fixe
227,img_227,2403,2280,Livres en langues étrangères,Jeux vidéo
229,img_229,1302,1300,Jeux vidéo rétro,Jeux vidéo ancien
232,img_232,2585,1302,Sports & Loisirs,Jeux vidéo rétro
234,img_234,10,2583,Livres,Articles sport
236,img_236,60,2462,Consoles,Fournitures bureau
238,img_238,2905,1140,Instruments musique,TV
241,img_241,2462,2403,Fournitures bureau,Livres en langues étrangères
242,img_242,1300,2905,Jeux vidéo ancien,Instruments musique
245,img_245,1180,2280,Décoration,Jeux vidéo
247,img_247,1940,2585,Instrument musique,Sports & Loisirs
253,img_253,2585,2583,Sports & Loisirs,Articles sport
254,img_254,1281,2462,Téléphonie fixe,Fournitures bureau
258,img_258,1281,2403,Téléphonie fixe,Livres en langues étrangères
262,img_262,1302,1140,Jeux vidéo rétro,TV
264,img_264,1280,2522,Accessoires téléphones,Équipement bébé
266,img_266,10,2280,Livres,Jeux vidéo
269,img_269,10,2403,Livres,Livres en langues étrangères
