original_index,imageid,predicted_category,true_category,predicted_category_name,true_category_name
0,img_0,1320,1301,CD,Consoles rétro
1,img_1,2060,1560,Articles soins,Photos
2,img_2,2585,2583,Sports & Loisirs,Articles sport
4,img_4,10,2403,Livres,Livres en langues étrangères
5,img_5,40,10,DVD & Films,Livres
8,img_8,1140,40,TV,DVD & Films
10,img_10,1940,1280,Instrument musique,Accessoires téléphones
11,img_11,2705,2280,Accessoires console,Jeux vidéo
13,img_13,2403,2280,Livres en langues étrangères,Jeux vidéo
15,img_15,1281,1560,Téléphonie fixe,Photos
17,img_17,2403,1920,Livres en langues étrangères,Musique amplifiée
19,img_19,2583,2585,Articles sport,Sports & Loisirs
20,img_20,2060,1280,Articles soins,Accessoires téléphones
24,img_24,1281,1940,Téléphonie fixe,Instrument musique
26,img_26,2705,2403,Accessoires console,Livres en langues étrangères
28,img_28,2403,2280,Livres en langues étrangères,Jeux vidéo
29,img_29,1281,2583,Téléphonie fixe,Articles sport
30,img_30,2403,2462,Livres en langues étrangères,Fournitures bureau
33,img_33,40,2280,DVD & Films,Jeux vidéo
36,img_36,2280,1160,Jeux vidéo,Électroménager
38,img_38,2060,1920,Articles soins,Musique amplifiée
39,img_39,1281,2060,Téléphonie fixe,Articles soins
40,img_40,40,1140,DVD & Films,TV
42,img_42,10,2705,Livres,Accessoires console
43,img_43,1280,1140,Accessoires téléphones,TV
46,img_46,1281,1140,Téléphonie fixe,TV
47,img_47,50,2583,Jouets & Jeux,Articles sport
52,img_52,1302,1560,Jeux vidéo rétro,Photos
55,img_55,60,1160,Consoles,Électroménager
56,img_56,2582,1302,Matériel & accessoires,Jeux vidéo rétro
61,img_61,1280,2403,Accessoires téléphones,Livres en langues étrangères
62,img_62,1180,1281,Décoration,Téléphonie fixe
63,img_63,2583,1560,Articles sport,Photos
68,img_68,2060,2585,Articles soins,Sports & Loisirs
71,img_71,2060,2583,Articles soins,Articles sport
72,img_72,1280,1920,Accessoires téléphones,Musique amplifiée
74,img_74,10,2280,Livres,Jeux vidéo
77,img_77,2585,2583,Sports & Loisirs,Articles sport
81,img_81,2280,10,Jeux vidéo,Livres
84,img_84,1301,2522,Consoles rétro,Équipement bébé
87,img_87,1560,1300,Photos,Jeux vidéo ancien
88,img_88,2403,1160,Livres en langues étrangères,Électroménager
91,img_91,1300,1280,Jeux vidéo ancien,Accessoires téléphones
94,img_94,2585,1301,Sports & Loisirs,Consoles rétro
101,img_101,2583,1320,Articles sport,CD
102,img_102,1281,1280,Téléphonie fixe,Accessoires téléphones
106,img_106,50,2583,Jouets & Jeux,Articles sport
111,img_111,2462,2280,Fournitures bureau,Jeux vidéo
114,img_114,2403,1281,Livres en langues étrangères,Téléphonie fixe
119,img_119,10,2705,Livres,Accessoires console
120,img_120,2220,2522,Puériculture,Équipement bébé
132,img_132,2060,1560,Articles soins,Photos
135,img_135,2522,2585,Équipement bébé,Sports & Loisirs
136,img_136,1140,1280,TV,Accessoires téléphones
141,img_141,2403,2280,Livres en langues étrangères,Jeux vidéo
