original_index,imageid,predicted_category,true_category,predicted_category_name,true_category_name
0,img_0,10,1301,Livres,Consoles rétro
1,img_1,24,1560,Catégorie 24,Photos
2,img_2,24,2583,Catégorie 24,Articles sport
3,img_3,5,1160,Catégorie 5,Électroménager
4,img_4,0,2403,Catégorie 0,Livres en langues étrangères
5,img_5,0,10,Catégorie 0,Livres
6,img_6,16,2060,Catégorie 16,Articles soins
7,img_7,23,2583,Catégorie 23,Articles sport
8,img_8,4,40,Catégorie 4,DVD & Films
9,img_9,26,2905,Catégorie 26,Instruments musique
10,img_10,20,1280,Catégorie 20,Accessoires téléphones
11,img_11,18,2280,Catégorie 18,Jeux vidéo
12,img_12,21,2522,Catégorie 21,Équipement bébé
13,img_13,18,2280,Catégorie 18,Jeux vidéo
14,img_14,18,2280,Catégorie 18,Jeux vidéo
15,img_15,4,1560,Catégorie 4,Photos
16,img_16,21,2522,Catégorie 21,Équipement bébé
17,img_17,14,1920,Catégorie 14,Musique amplifiée
18,img_18,18,2280,Catégorie 18,Jeux vidéo
19,img_19,12,2585,Catégorie 12,Sports & Loisirs
20,img_20,16,1280,Catégorie 16,Accessoires téléphones
21,img_21,18,2280,Catégorie 18,Jeux vidéo
22,img_22,4,1280,Catégorie 4,Accessoires téléphones
23,img_23,8,1281,Catégorie 8,Téléphonie fixe
24,img_24,15,1940,Catégorie 15,Instrument musique
25,img_25,13,1560,Catégorie 13,Photos
26,img_26,25,2403,Catégorie 25,Livres en langues étrangères
27,img_27,9,1300,Catégorie 9,Jeux vidéo ancien
28,img_28,19,2280,Catégorie 19,Jeux vidéo
29,img_29,11,2583,Catégorie 11,Articles sport
30,img_30,19,2462,Catégorie 19,Fournitures bureau
31,img_31,7,1280,Catégorie 7,Accessoires téléphones
32,img_32,20,40,Catégorie 20,DVD & Films
33,img_33,0,2280,Catégorie 0,Jeux vidéo
34,img_34,9,1300,Catégorie 9,Jeux vidéo ancien
35,img_35,5,1160,Catégorie 5,Électroménager
36,img_36,5,1160,Catégorie 5,Électroménager
37,img_37,2,1320,Catégorie 2,CD
38,img_38,25,1920,Catégorie 25,Musique amplifiée
39,img_39,16,2060,Catégorie 16,Articles soins
40,img_40,1,1140,Catégorie 1,TV
41,img_41,9,1300,Catégorie 9,Jeux vidéo ancien
42,img_42,0,2705,Catégorie 0,Accessoires console
43,img_43,4,1140,Catégorie 4,TV
44,img_44,22,2582,Catégorie 22,Matériel & accessoires
45,img_45,2,50,Catégorie 2,Jouets & Jeux
46,img_46,20,1140,Catégorie 20,TV
47,img_47,2,2583,Catégorie 2,Articles sport
48,img_48,15,1940,Catégorie 15,Instrument musique
49,img_49,7,1280,Catégorie 7,Accessoires téléphones
50,img_50,1,40,Catégorie 1,DVD & Films
51,img_51,25,2705,Catégorie 25,Accessoires console
52,img_52,7,1560,Catégorie 7,Photos
53,img_53,19,2403,Catégorie 19,Livres en langues étrangères
54,img_54,22,2582,Catégorie 22,Matériel & accessoires
55,img_55,1,1160,Catégorie 1,Électroménager
56,img_56,22,1302,Catégorie 22,Jeux vidéo rétro
57,img_57,3,60,Catégorie 3,Consoles
58,img_58,26,2905,Catégorie 26,Instruments musique
59,img_59,18,40,Catégorie 18,DVD & Films
60,img_60,23,2583,Catégorie 23,Articles sport
61,img_61,23,2403,Catégorie 23,Livres en langues étrangères
62,img_62,6,1281,Catégorie 6,Téléphonie fixe
63,img_63,13,1560,Catégorie 13,Photos
64,img_64,24,2583,Catégorie 24,Articles sport
65,img_65,23,2583,Catégorie 23,Articles sport
66,img_66,14,1920,Catégorie 14,Musique amplifiée
67,img_67,16,2060,Catégorie 16,Articles soins
68,img_68,10,2585,Livres,Sports & Loisirs
69,img_69,12,1320,Catégorie 12,CD
70,img_70,14,1920,Catégorie 14,Musique amplifiée
71,img_71,22,2583,Catégorie 22,Articles sport
72,img_72,7,1920,Catégorie 7,Musique amplifiée
73,img_73,25,2705,Catégorie 25,Accessoires console
74,img_74,18,2280,Catégorie 18,Jeux vidéo
75,img_75,12,1320,Catégorie 12,CD
76,img_76,23,2583,Catégorie 23,Articles sport
77,img_77,16,2583,Catégorie 16,Articles sport
78,img_78,21,2522,Catégorie 21,Équipement bébé
79,img_79,1,40,Catégorie 1,DVD & Films
80,img_80,23,2583,Catégorie 23,Articles sport
81,img_81,0,10,Catégorie 0,Livres
82,img_82,13,1560,Catégorie 13,Photos
83,img_83,18,2280,Catégorie 18,Jeux vidéo
84,img_84,21,2522,Catégorie 21,Équipement bébé
85,img_85,9,1300,Catégorie 9,Jeux vidéo ancien
86,img_86,14,1920,Catégorie 14,Musique amplifiée
87,img_87,13,1300,Catégorie 13,Jeux vidéo ancien
88,img_88,1,1160,Catégorie 1,Électroménager
89,img_89,19,2403,Catégorie 19,Livres en langues étrangères
90,img_90,19,2403,Catégorie 19,Livres en langues étrangères
91,img_91,9,1280,Catégorie 9,Accessoires téléphones
92,img_92,23,2583,Catégorie 23,Articles sport
93,img_93,22,1560,Catégorie 22,Photos
94,img_94,24,1301,Catégorie 24,Consoles rétro
95,img_95,20,2462,Catégorie 20,Fournitures bureau
96,img_96,13,1560,Catégorie 13,Photos
97,img_97,21,2522,Catégorie 21,Équipement bébé
98,img_98,10,1301,Livres,Consoles rétro
99,img_99,22,2582,Catégorie 22,Matériel & accessoires
100,img_100,21,2522,Catégorie 21,Équipement bébé
101,img_101,13,1320,Catégorie 13,CD
102,img_102,8,1280,Catégorie 8,Accessoires téléphones
103,img_103,12,1320,Catégorie 12,CD
104,img_104,14,1920,Catégorie 14,Musique amplifiée
105,img_105,2,50,Catégorie 2,Jouets & Jeux
106,img_106,2,2583,Catégorie 2,Articles sport
107,img_107,5,1160,Catégorie 5,Électroménager
108,img_108,15,1940,Catégorie 15,Instrument musique
109,img_109,26,2905,Catégorie 26,Instruments musique
110,img_110,11,1302,Catégorie 11,Jeux vidéo rétro
111,img_111,1,2280,Catégorie 1,Jeux vidéo
112,img_112,8,1281,Catégorie 8,Téléphonie fixe
113,img_113,23,2583,Catégorie 23,Articles sport
114,img_114,20,1281,Catégorie 20,Téléphonie fixe
115,img_115,17,2220,Catégorie 17,Puériculture
116,img_116,9,1300,Catégorie 9,Jeux vidéo ancien
117,img_117,4,1140,Catégorie 4,TV
118,img_118,9,1300,Catégorie 9,Jeux vidéo ancien
119,img_119,0,2705,Catégorie 0,Accessoires console
120,img_120,17,2522,Catégorie 17,Équipement bébé
121,img_121,12,1320,Catégorie 12,CD
122,img_122,23,2583,Catégorie 23,Articles sport
123,img_123,9,1300,Catégorie 9,Jeux vidéo ancien
124,img_124,23,2583,Catégorie 23,Articles sport
125,img_125,9,1300,Catégorie 9,Jeux vidéo ancien
126,img_126,4,1140,Catégorie 4,TV
127,img_127,9,1300,Catégorie 9,Jeux vidéo ancien
128,img_128,5,1160,Catégorie 5,Électroménager
129,img_129,18,2280,Catégorie 18,Jeux vidéo
130,img_130,5,1160,Catégorie 5,Électroménager
131,img_131,23,2583,Catégorie 23,Articles sport
132,img_132,7,1560,Catégorie 7,Photos
133,img_133,14,1920,Catégorie 14,Musique amplifiée
134,img_134,16,2060,Catégorie 16,Articles soins
135,img_135,21,2585,Catégorie 21,Sports & Loisirs
136,img_136,4,1280,Catégorie 4,Accessoires téléphones
137,img_137,4,1140,Catégorie 4,TV
138,img_138,10,1301,Livres,Consoles rétro
139,img_139,3,60,Catégorie 3,Consoles
140,img_140,18,2280,Catégorie 18,Jeux vidéo
141,img_141,8,2280,Catégorie 8,Jeux vidéo
142,img_142,1,60,Catégorie 1,Consoles
143,img_143,12,1560,Catégorie 12,Photos
144,img_144,18,2280,Catégorie 18,Jeux vidéo
145,img_145,9,1280,Catégorie 9,Accessoires téléphones
146,img_146,9,1300,Catégorie 9,Jeux vidéo ancien
147,img_147,5,1160,Catégorie 5,Électroménager
148,img_148,2,1140,Catégorie 2,TV
149,img_149,22,2582,Catégorie 22,Matériel & accessoires
150,img_150,15,1940,Catégorie 15,Instrument musique
151,img_151,18,2280,Catégorie 18,Jeux vidéo
152,img_152,14,1920,Catégorie 14,Musique amplifiée
153,img_153,26,2905,Catégorie 26,Instruments musique
154,img_154,11,2220,Catégorie 11,Puériculture
155,img_155,13,1560,Catégorie 13,Photos
156,img_156,16,2582,Catégorie 16,Matériel & accessoires
157,img_157,10,2522,Livres,Équipement bébé
158,img_158,9,1300,Catégorie 9,Jeux vidéo ancien
159,img_159,14,1920,Catégorie 14,Musique amplifiée
160,img_160,12,2220,Catégorie 12,Puériculture
161,img_161,18,2280,Catégorie 18,Jeux vidéo
162,img_162,11,1302,Catégorie 11,Jeux vidéo rétro
163,img_163,22,2060,Catégorie 22,Articles soins
164,img_164,7,1140,Catégorie 7,TV
165,img_165,9,1300,Catégorie 9,Jeux vidéo ancien
166,img_166,21,2522,Catégorie 21,Équipement bébé
167,img_167,22,10,Catégorie 22,Livres
168,img_168,16,1560,Catégorie 16,Photos
169,img_169,18,2280,Catégorie 18,Jeux vidéo
170,img_170,9,1300,Catégorie 9,Jeux vidéo ancien
171,img_171,0,10,Catégorie 0,Livres
172,img_172,8,1281,Catégorie 8,Téléphonie fixe
173,img_173,4,2060,Catégorie 4,Articles soins
174,img_174,26,2905,Catégorie 26,Instruments musique
175,img_175,9,2060,Catégorie 9,Articles soins
176,img_176,2,2583,Catégorie 2,Articles sport
177,img_177,5,1160,Catégorie 5,Électroménager
178,img_178,1,40,Catégorie 1,DVD & Films
179,img_179,21,2522,Catégorie 21,Équipement bébé
180,img_180,19,2403,Catégorie 19,Livres en langues étrangères
181,img_181,1,40,Catégorie 1,DVD & Films
182,img_182,11,2522,Catégorie 11,Équipement bébé
183,img_183,19,2280,Catégorie 19,Jeux vidéo
184,img_184,7,1300,Catégorie 7,Jeux vidéo ancien
185,img_185,13,2582,Catégorie 13,Matériel & accessoires
186,img_186,12,1302,Catégorie 12,Jeux vidéo rétro
187,img_187,5,1160,Catégorie 5,Électroménager
188,img_188,24,2585,Catégorie 24,Sports & Loisirs
189,img_189,11,2583,Catégorie 11,Articles sport
190,img_190,9,1300,Catégorie 9,Jeux vidéo ancien
191,img_191,9,1302,Catégorie 9,Jeux vidéo rétro
192,img_192,0,1281,Catégorie 0,Téléphonie fixe
193,img_193,16,1320,Catégorie 16,CD
194,img_194,24,40,Catégorie 24,DVD & Films
195,img_195,16,1140,Catégorie 16,TV
196,img_196,2,40,Catégorie 2,DVD & Films
197,img_197,20,2280,Catégorie 20,Jeux vidéo
198,img_198,19,2280,Catégorie 19,Jeux vidéo
199,img_199,1,2403,Catégorie 1,Livres en langues étrangères
200,img_200,11,1560,Catégorie 11,Photos
201,img_201,14,1920,Catégorie 14,Musique amplifiée
202,img_202,18,2280,Catégorie 18,Jeux vidéo
203,img_203,22,2583,Catégorie 22,Articles sport
204,img_204,9,1280,Catégorie 9,Accessoires téléphones
205,img_205,21,2522,Catégorie 21,Équipement bébé
206,img_206,16,1920,Catégorie 16,Musique amplifiée
207,img_207,2,50,Catégorie 2,Jouets & Jeux
208,img_208,22,1920,Catégorie 22,Musique amplifiée
209,img_209,0,2403,Catégorie 0,Livres en langues étrangères
210,img_210,5,1160,Catégorie 5,Électroménager
211,img_211,18,2280,Catégorie 18,Jeux vidéo
212,img_212,2,2583,Catégorie 2,Articles sport
213,img_213,14,1920,Catégorie 14,Musique amplifiée
214,img_214,4,1140,Catégorie 4,TV
215,img_215,21,2522,Catégorie 21,Équipement bébé
216,img_216,1,60,Catégorie 1,Consoles
217,img_217,23,2583,Catégorie 23,Articles sport
218,img_218,7,1280,Catégorie 7,Accessoires téléphones
