original_index,imageid,predicted_category,true_category,predicted_category_name,true_category_name
1,img_1,2060,1560,Articles soins,Photos
2,img_2,1300,2583,Jeux vidéo ancien,Articles sport
4,img_4,10,2403,Livres,Livres en langues étrangères
8,img_8,1140,40,TV,DVD & Films
10,img_10,50,1280,Jouets & Jeux,Accessoires téléphones
13,img_13,10,2280,Livres,Jeux vidéo
15,img_15,1281,1560,Téléphonie fixe,Photos
17,img_17,2060,1920,Articles soins,Musique amplifiée
19,img_19,2583,2585,Articles sport,Sports & Loisirs
20,img_20,2060,1280,Articles soins,Accessoires téléphones
22,img_22,1140,1280,TV,Accessoires téléphones
23,img_23,2403,1281,Livres en langues étrangères,Téléphonie fixe
24,img_24,2403,1940,Livres en langues étrangères,Instrument musique
26,img_26,2705,2403,Accessoires console,Livres en langues étrangères
28,img_28,2403,2280,Livres en langues étrangères,Jeux vidéo
29,img_29,1140,2583,TV,Articles sport
30,img_30,2403,2462,Livres en langues étrangères,Fournitures bureau
31,img_31,1140,1280,TV,Accessoires téléphones
33,img_33,40,2280,DVD & Films,Jeux vidéo
36,img_36,2280,1160,Jeux vidéo,Électroménager
38,img_38,2060,1920,Articles soins,Musique amplifiée
39,img_39,1281,2060,Téléphonie fixe,Articles soins
40,img_40,40,1140,DVD & Films,TV
46,img_46,2462,1140,Fournitures bureau,TV
47,img_47,50,2583,Jouets & Jeux,Articles sport
52,img_52,1320,1560,CD,Photos
55,img_55,60,1160,Consoles,Électroménager
56,img_56,2582,1302,Matériel & accessoires,Jeux vidéo rétro
61,img_61,2060,2403,Articles soins,Livres en langues étrangères
63,img_63,2582,1560,Matériel & accessoires,Photos
68,img_68,2060,2585,Articles soins,Sports & Loisirs
71,img_71,2060,2583,Articles soins,Articles sport
72,img_72,1280,1920,Accessoires téléphones,Musique amplifiée
74,img_74,10,2280,Livres,Jeux vidéo
77,img_77,2585,2583,Sports & Loisirs,Articles sport
81,img_81,2280,10,Jeux vidéo,Livres
84,img_84,1920,2522,Musique amplifiée,Équipement bébé
87,img_87,50,1300,Jouets & Jeux,Jeux vidéo ancien
89,img_89,2280,2403,Jeux vidéo,Livres en langues étrangères
91,img_91,1300,1280,Jeux vidéo ancien,Accessoires téléphones
93,img_93,1302,1560,Jeux vidéo rétro,Photos
94,img_94,2585,1301,Sports & Loisirs,Consoles rétro
101,img_101,2582,1320,Matériel & accessoires,CD
102,img_102,1281,1280,Téléphonie fixe,Accessoires téléphones
103,img_103,2522,1320,Équipement bébé,CD
106,img_106,1160,2583,Électroménager,Articles sport
111,img_111,2462,2280,Fournitures bureau,Jeux vidéo
114,img_114,2403,1281,Livres en langues étrangères,Téléphonie fixe
118,img_118,50,1300,Jouets & Jeux,Jeux vidéo ancien
119,img_119,10,2705,Livres,Accessoires console
120,img_120,2220,2522,Puériculture,Équipement bébé
132,img_132,2060,1560,Articles soins,Photos
135,img_135,2522,2585,Équipement bébé,Sports & Loisirs
136,img_136,1140,1280,TV,Accessoires téléphones
141,img_141,2403,2280,Livres en langues étrangères,Jeux vidéo
142,img_142,40,60,DVD & Films,Consoles
143,img_143,1320,1560,CD,Photos
144,img_144,10,2280,Livres,Jeux vidéo
145,img_145,1300,1280,Jeux vidéo ancien,Accessoires téléphones
148,img_148,50,1140,Jouets & Jeux,TV
154,img_154,1320,2220,CD,Puériculture
156,img_156,1280,2582,Accessoires téléphones,Matériel & accessoires
158,img_158,1280,1300,Accessoires téléphones,Jeux vidéo ancien
159,img_159,2060,1920,Articles soins,Musique amplifiée
160,img_160,1302,2220,Jeux vidéo rétro,Puériculture
168,img_168,2060,1560,Articles soins,Photos
169,img_169,2705,2280,Accessoires console,Jeux vidéo
173,img_173,1140,2060,TV,Articles soins
175,img_175,1302,2060,Jeux vidéo rétro,Articles soins
180,img_180,10,2403,Livres,Livres en langues étrangères
181,img_181,2462,40,Fournitures bureau,DVD & Films
182,img_182,1302,2522,Jeux vidéo rétro,Équipement bébé
183,img_183,2403,2280,Livres en langues étrangères,Jeux vidéo
184,img_184,1280,1300,Accessoires téléphones,Jeux vidéo ancien
185,img_185,50,2582,Jouets & Jeux,Matériel & accessoires
189,img_189,1302,2583,Jeux vidéo rétro,Articles sport
191,img_191,1300,1302,Jeux vidéo ancien,Jeux vidéo rétro
192,img_192,1302,1281,Jeux vidéo rétro,Téléphonie fixe
194,img_194,2585,40,Sports & Loisirs,DVD & Films
196,img_196,2522,40,Équipement bébé,DVD & Films
197,img_197,2462,2280,Fournitures bureau,Jeux vidéo
198,img_198,2403,2280,Livres en langues étrangères,Jeux vidéo
199,img_199,40,2403,DVD & Films,Livres en langues étrangères
200,img_200,1302,1560,Jeux vidéo rétro,Photos
203,img_203,1320,2583,CD,Articles sport
204,img_204,2585,1280,Sports & Loisirs,Accessoires téléphones
206,img_206,2060,1920,Articles soins,Musique amplifiée
207,img_207,2462,50,Fournitures bureau,Jouets & Jeux
208,img_208,2582,1920,Matériel & accessoires,Musique amplifiée
209,img_209,10,2403,Livres,Livres en langues étrangères
212,img_212,50,2583,Jouets & Jeux,Articles sport
216,img_216,40,60,DVD & Films,Consoles
220,img_220,1280,1560,Accessoires téléphones,Photos
222,img_222,2705,2403,Accessoires console,Livres en langues étrangères
223,img_223,50,1320,Jouets & Jeux,CD
227,img_227,2403,2280,Livres en langues étrangères,Jeux vidéo
229,img_229,1280,1300,Accessoires téléphones,Jeux vidéo ancien
232,img_232,2585,1302,Sports & Loisirs,Jeux vidéo rétro
236,img_236,60,2462,Consoles,Fournitures bureau
238,img_238,2705,1140,Accessoires console,TV
242,img_242,1300,2905,Jeux vidéo ancien,Instruments musique
245,img_245,1160,2280,Électroménager,Jeux vidéo
247,img_247,1940,2585,Instrument musique,Sports & Loisirs
254,img_254,40,2462,DVD & Films,Fournitures bureau
259,img_259,1301,2585,Consoles rétro,Sports & Loisirs
260,img_260,2220,1280,Puériculture,Accessoires téléphones
262,img_262,1302,1140,Jeux vidéo rétro,TV
264,img_264,1300,2522,Jeux vidéo ancien,Équipement bébé
266,img_266,10,2280,Livres,Jeux vidéo
269,img_269,10,2403,Livres,Livres en langues étrangères
271,img_271,2585,40,Sports & Loisirs,DVD & Films
272,img_272,1281,1280,Téléphonie fixe,Accessoires téléphones
273,img_273,40,10,DVD & Films,Livres
276,img_276,1280,1281,Accessoires téléphones,Téléphonie fixe
281,img_281,2582,1320,Matériel & accessoires,CD
282,img_282,1320,1300,CD,Jeux vidéo ancien
284,img_284,2060,2583,Articles soins,Articles sport
285,img_285,2582,1920,Matériel & accessoires,Musique amplifiée
298,img_298,40,1281,DVD & Films,Téléphonie fixe
299,img_299,2403,2705,Livres en langues étrangères,Accessoires console
300,img_300,1281,1280,Téléphonie fixe,Accessoires téléphones
308,img_308,2582,1560,Matériel & accessoires,Photos
310,img_310,2060,1280,Articles soins,Accessoires téléphones
313,img_313,1280,1320,Accessoires téléphones,CD
318,img_318,2582,2583,Matériel & accessoires,Articles sport
319,img_319,1560,2583,Photos,Articles sport
322,img_322,2280,2403,Jeux vidéo,Livres en langues étrangères
324,img_324,1940,2522,Instrument musique,Équipement bébé
327,img_327,50,2522,Jouets & Jeux,Équipement bébé
328,img_328,2585,1140,Sports & Loisirs,TV
330,img_330,2060,1560,Articles soins,Photos
333,img_333,2522,2403,Équipement bébé,Livres en langues étrangères
338,img_338,1302,1280,Jeux vidéo rétro,Accessoires téléphones
339,img_339,1920,1320,Musique amplifiée,CD
340,img_340,2583,2582,Articles sport,Matériel & accessoires
341,img_341,10,2280,Livres,Jeux vidéo
347,img_347,50,2583,Jouets & Jeux,Articles sport
348,img_348,2705,2280,Accessoires console,Jeux vidéo
349,img_349,2582,1560,Matériel & accessoires,Photos
350,img_350,1302,1920,Jeux vidéo rétro,Musique amplifiée
352,img_352,2522,1280,Équipement bébé,Accessoires téléphones
353,img_353,2403,10,Livres en langues étrangères,Livres
354,img_354,2060,1560,Articles soins,Photos
355,img_355,1281,2403,Téléphonie fixe,Livres en langues étrangères
357,img_357,2585,2583,Sports & Loisirs,Articles sport
363,img_363,2220,2583,Puériculture,Articles sport
364,img_364,1302,1320,Jeux vidéo rétro,CD
365,img_365,1140,1180,TV,Décoration
366,img_366,2060,1560,Articles soins,Photos
367,img_367,40,2522,DVD & Films,Équipement bébé
368,img_368,1302,2583,Jeux vidéo rétro,Articles sport
370,img_370,1940,1320,Instrument musique,CD
371,img_371,2522,1320,Équipement bébé,CD
373,img_373,2060,2585,Articles soins,Sports & Loisirs
375,img_375,2280,10,Jeux vidéo,Livres
377,img_377,1920,1560,Musique amplifiée,Photos
378,img_378,60,50,Consoles,Jouets & Jeux
379,img_379,1281,2060,Téléphonie fixe,Articles soins
383,img_383,50,1300,Jouets & Jeux,Jeux vidéo ancien
389,img_389,2462,2060,Fournitures bureau,Articles soins
391,img_391,1560,1281,Photos,Téléphonie fixe
392,img_392,1320,2060,CD,Articles soins
393,img_393,1320,2582,CD,Matériel & accessoires
396,img_396,10,2522,Livres,Équipement bébé
400,img_400,2060,1560,Articles soins,Photos
403,img_403,50,1300,Jouets & Jeux,Jeux vidéo ancien
409,img_409,2582,2060,Matériel & accessoires,Articles soins
412,img_412,60,2522,Consoles,Équipement bébé
419,img_419,2060,2585,Articles soins,Sports & Loisirs
420,img_420,2585,1320,Sports & Loisirs,CD
421,img_421,1300,1560,Jeux vidéo ancien,Photos
423,img_423,1560,2583,Photos,Articles sport
424,img_424,2280,2403,Jeux vidéo,Livres en langues étrangères
431,img_431,1320,2583,CD,Articles sport
435,img_435,1320,1560,CD,Photos
440,img_440,2705,2280,Accessoires console,Jeux vidéo
445,img_445,2582,1320,Matériel & accessoires,CD
448,img_448,2582,1560,Matériel & accessoires,Photos
453,img_453,2522,2582,Équipement bébé,Matériel & accessoires
458,img_458,2522,50,Équipement bébé,Jouets & Jeux
459,img_459,2403,1302,Livres en langues étrangères,Jeux vidéo rétro
460,img_460,2582,2060,Matériel & accessoires,Articles soins
465,img_465,1140,1320,TV,CD
469,img_469,2585,2583,Sports & Loisirs,Articles sport
470,img_470,1160,1140,Électroménager,TV
471,img_471,1140,1280,TV,Accessoires téléphones
473,img_473,1281,2280,Téléphonie fixe,Jeux vidéo
476,img_476,10,2403,Livres,Livres en langues étrangères
480,img_480,1280,1302,Accessoires téléphones,Jeux vidéo rétro
481,img_481,1302,1300,Jeux vidéo rétro,Jeux vidéo ancien
487,img_487,1302,1280,Jeux vidéo rétro,Accessoires téléphones
492,img_492,1560,2583,Photos,Articles sport
497,img_497,10,2403,Livres,Livres en langues étrangères
506,img_506,1300,1280,Jeux vidéo ancien,Accessoires téléphones
508,img_508,1281,2403,Téléphonie fixe,Livres en langues étrangères
510,img_510,1302,2585,Jeux vidéo rétro,Sports & Loisirs
512,img_512,1560,2583,Photos,Articles sport
515,img_515,1140,1160,TV,Électroménager
518,img_518,2060,1180,Articles soins,Décoration
524,img_524,2585,1560,Sports & Loisirs,Photos
528,img_528,1560,2522,Photos,Équipement bébé
533,img_533,1302,1300,Jeux vidéo rétro,Jeux vidéo ancien
