original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name
0,img_0,1140,0.1582809289577146,1301,TV
1,img_1,2060,0.21369529925981065,1560,Articles soins
2,img_2,1300,0.30903178356696376,2583,Jeux vidéo ancien
3,img_3,1160,0.98204366927352,1160,Électroménager
4,img_4,10,0.5792659693889066,2403,Livres
5,img_5,40,0.32053875453082553,10,DVD & Films
6,img_6,2060,0.5324655299648627,2060,Articles soins
7,img_7,2583,0.5126892799940672,2583,Articles sport
8,img_8,1140,0.2351225286081221,40,TV
9,img_9,2905,0.42507132673589665,2905,Instruments musique
10,img_10,2522,0.18317876276802117,1280,Équipement bébé
11,img_11,2705,0.5399297230731306,2280,Accessoires console
12,img_12,2060,0.2426997696747132,2522,Articles soins
13,img_13,2280,0.37623985085050066,2280,Jeux vidéo
14,img_14,2280,0.33563447440085287,2280,Jeux vidéo
15,img_15,1280,0.1366169223898597,1560,Accessoires téléphones
16,img_16,2522,0.913193385034513,2522,Équipement bébé
17,img_17,2403,0.27021453039922017,1920,Livres en langues étrangères
18,img_18,2280,0.8972378497601283,2280,Jeux vidéo
19,img_19,1320,0.3105903491022981,2585,CD
20,img_20,2060,0.46266412509271854,1280,Articles soins
21,img_21,2280,0.6837658598632745,2280,Jeux vidéo
22,img_22,1280,0.1805988895006532,1280,Accessoires téléphones
23,img_23,2403,0.20833897837016774,1281,Livres en langues étrangères
24,img_24,1940,0.17771510301368476,1940,Instrument musique
25,img_25,2522,0.28652142025155636,1560,Équipement bébé
26,img_26,2705,0.5742909595218668,2403,Accessoires console
27,img_27,1300,0.6157673983607271,1300,Jeux vidéo ancien
28,img_28,2403,0.8563227927539377,2280,Livres en langues étrangères
29,img_29,1302,0.21456272297959453,2583,Jeux vidéo rétro
30,img_30,2462,0.18808158126451055,2462,Fournitures bureau
31,img_31,1280,0.2667841448355836,1280,Accessoires téléphones
32,img_32,40,0.3406666308845215,40,DVD & Films
33,img_33,1281,0.21672668738012668,2280,Téléphonie fixe
34,img_34,1300,0.2293605589782535,1300,Jeux vidéo ancien
35,img_35,1160,0.7893034880713263,1160,Électroménager
36,img_36,2280,0.2906324840811723,1160,Jeux vidéo
37,img_37,1320,0.24727180768056384,1320,CD
38,img_38,2060,0.4213581269122749,1920,Articles soins
39,img_39,1281,0.16925351624508253,2060,Téléphonie fixe
40,img_40,40,0.35514259499003953,1140,DVD & Films
41,img_41,50,0.32741629638599185,1300,Jouets & Jeux
42,img_42,10,0.3303080957825953,2705,Livres
43,img_43,1140,0.3661559031022938,1140,TV
44,img_44,2582,0.28402476552556016,2582,Matériel & accessoires
45,img_45,60,0.42296997666078434,50,Consoles
46,img_46,2403,0.31240348201872914,1140,Livres en langues étrangères
47,img_47,50,0.44576396637560617,2583,Jouets & Jeux
48,img_48,1940,0.8758121140870716,1940,Instrument musique
49,img_49,1280,0.518340485182194,1280,Accessoires téléphones
50,img_50,40,0.5236122254270694,40,DVD & Films
51,img_51,2705,0.9784136024051636,2705,Accessoires console
52,img_52,1320,0.2576421443870929,1560,CD
53,img_53,2403,0.8322115904903588,2403,Livres en langues étrangères
54,img_54,2583,0.21809804642344066,2582,Articles sport
55,img_55,1160,0.23647191823382935,1160,Électroménager
56,img_56,2582,0.1521071431396732,1302,Matériel & accessoires
57,img_57,60,0.7345244700068464,60,Consoles
58,img_58,2905,0.8979659461804491,2905,Instruments musique
