original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name
0,img_0,1320,0.5376960647375604,1301,CD
1,img_1,2060,0.787174130499877,1560,Articles soins
2,img_2,2585,0.4322882030045556,2583,Sports & Loisirs
3,img_3,1160,0.9951291413624106,1160,Électroménager
4,img_4,10,0.9890885832140645,2403,Livres
5,img_5,40,0.48201444438166346,10,DVD & Films
6,img_6,2060,0.9726441248169907,2060,Articles soins
7,img_7,2583,0.9930246998820588,2583,Articles sport
8,img_8,1140,0.5275751691876712,40,TV
9,img_9,2905,0.9899654463729931,2905,Instruments musique
10,img_10,1940,0.15171945609301205,1280,Instrument musique
11,img_11,2705,0.5523486705369585,2280,Accessoires console
12,img_12,2522,0.9410398037131267,2522,Équipement bébé
13,img_13,2403,0.5472611307541494,2280,Livres en langues étrangères
14,img_14,2280,0.7474353355017475,2280,Jeux vidéo
15,img_15,1281,0.41711590094179973,1560,Téléphonie fixe
16,img_16,2522,0.996285665598299,2522,Équipement bébé
17,img_17,2403,0.416043338600564,1920,Livres en langues étrangères
18,img_18,2280,0.9998536788619902,2280,Jeux vidéo
19,img_19,2583,0.30335693132072866,2585,Articles sport
20,img_20,2060,0.9410016655300617,1280,Articles soins
21,img_21,2280,0.764366799957529,2280,Jeux vidéo
22,img_22,1280,0.45533213227857766,1280,Accessoires téléphones
23,img_23,1281,0.2948855383782871,1281,Téléphonie fixe
24,img_24,1281,0.4032997674800476,1940,Téléphonie fixe
25,img_25,1560,0.8323926455938726,1560,Photos
26,img_26,2705,0.2842991325762305,2403,Accessoires console
27,img_27,1300,0.5949295340283821,1300,Jeux vidéo ancien
28,img_28,2403,0.9956233245591782,2280,Livres en langues étrangères
29,img_29,1281,0.23969137718053726,2583,Téléphonie fixe
30,img_30,2403,0.6555579100819218,2462,Livres en langues étrangères
31,img_31,1280,0.494387969032136,1280,Accessoires téléphones
32,img_32,40,0.8673280370857507,40,DVD & Films
33,img_33,40,0.4523875521695507,2280,DVD & Films
34,img_34,1300,0.46607178695237317,1300,Jeux vidéo ancien
35,img_35,1160,0.997513633200289,1160,Électroménager
36,img_36,2280,0.7564507357982152,1160,Jeux vidéo
37,img_37,1320,0.5003925942681481,1320,CD
38,img_38,2060,0.7506834984587674,1920,Articles soins
39,img_39,1281,0.31009379880676013,2060,Téléphonie fixe
40,img_40,40,0.6112416841929552,1140,DVD & Films
41,img_41,1300,0.9842488325639678,1300,Jeux vidéo ancien
42,img_42,10,0.5038740242935074,2705,Livres
43,img_43,1280,0.5996025304997604,1140,Accessoires téléphones
44,img_44,2582,0.9836366944532305,2582,Matériel & accessoires
45,img_45,50,0.9928669061304343,50,Jouets & Jeux
46,img_46,1281,0.7133686922062659,1140,Téléphonie fixe
47,img_47,50,0.8618552405662447,2583,Jouets & Jeux
48,img_48,1940,0.9980008129732771,1940,Instrument musique
