original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name
0,img_0,1301,0.36433002,1301,Consoles rétro
1,img_1,2060,0.4674456,1560,Articles soins
2,img_2,1300,0.4905478,2583,Jeux vidéo ancien
3,img_3,1160,0.99608314,1160,Électroménager
4,img_4,10,0.76632464,2403,Livres
5,img_5,10,0.422279,10,Livres
6,img_6,2060,0.8907698,2060,Articles soins
7,img_7,2583,0.9721594,2583,Articles sport
8,img_8,1140,0.21438399,40,TV
9,img_9,2905,0.9773586,2905,Instruments musique
10,img_10,50,0.13128568,1280,Jouets & Jeux
11,img_11,2280,0.5430067,2280,Jeux vidéo
12,img_12,2522,0.7940702,2522,Équipement bébé
13,img_13,10,0.50744826,2280,Livres
14,img_14,2280,0.5600324,2280,Jeux vidéo
15,img_15,1281,0.3457069,1560,Téléphonie fixe
16,img_16,2522,0.996896,2522,Équipement bébé
17,img_17,2060,0.18894131,1920,Articles soins
18,img_18,2280,0.99748766,2280,Jeux vidéo
19,img_19,2583,0.38584358,2585,Articles sport
20,img_20,2060,0.8403604,1280,Articles soins
21,img_21,2280,0.95025396,2280,Jeux vidéo
22,img_22,1140,0.35809228,1280,TV
23,img_23,2403,0.23292628,1281,Livres en langues étrangères
24,img_24,2403,0.23058955,1940,Livres en langues étrangères
25,img_25,1560,0.6984066,1560,Photos
26,img_26,2705,0.38171628,2403,Accessoires console
27,img_27,1300,0.6897435,1300,Jeux vidéo ancien
28,img_28,2403,0.98145056,2280,Livres en langues étrangères
29,img_29,1140,0.23812588,2583,TV
30,img_30,2403,0.3029002,2462,Livres en langues étrangères
31,img_31,1140,0.30101046,1280,TV
32,img_32,40,0.84412766,40,DVD & Films
33,img_33,40,0.51092154,2280,DVD & Films
34,img_34,1300,0.32332355,1300,Jeux vidéo ancien
35,img_35,1160,0.99385613,1160,Électroménager
36,img_36,2280,0.39170033,1160,Jeux vidéo
37,img_37,1320,0.44207698,1320,CD
38,img_38,2060,0.5993542,1920,Articles soins
39,img_39,1281,0.38708097,2060,Téléphonie fixe
40,img_40,40,0.75640476,1140,DVD & Films
41,img_41,1300,0.96179736,1300,Jeux vidéo ancien
42,img_42,2705,0.6216605,2705,Accessoires console
43,img_43,1140,0.65694165,1140,TV
44,img_44,2582,0.94048613,2582,Matériel & accessoires
45,img_45,50,0.9757623,50,Jouets & Jeux
46,img_46,2462,0.43418154,1140,Fournitures bureau
47,img_47,50,0.6518835,2583,Jouets & Jeux
48,img_48,1940,0.99558806,1940,Instrument musique
49,img_49,1280,0.6670602,1280,Accessoires téléphones
50,img_50,40,0.9851413,40,DVD & Films
51,img_51,2705,0.9981382,2705,Accessoires console
52,img_52,1320,0.2930201,1560,CD
53,img_53,2403,0.9544821,2403,Livres en langues étrangères
54,img_54,2582,0.56682754,2582,Matériel & accessoires
55,img_55,60,0.40954462,1160,Consoles
56,img_56,2582,0.6357911,1302,Matériel & accessoires
57,img_57,60,0.9319235,60,Consoles
58,img_58,2905,0.99793565,2905,Instruments musique
59,img_59,40,0.5913958,40,DVD & Films
60,img_60,2583,0.99891543,2583,Articles sport
61,img_61,2060,0.2518769,2403,Articles soins
62,img_62,1281,0.4788162,1281,Téléphonie fixe
63,img_63,2582,0.33342636,1560,Matériel & accessoires
64,img_64,2583,0.3015828,2583,Articles sport
65,img_65,2583,0.76921993,2583,Articles sport
66,img_66,1920,0.9649617,1920,Musique amplifiée
67,img_67,2060,0.94129425,2060,Articles soins
68,img_68,2060,0.633404,2585,Articles soins
69,img_69,1320,0.73503184,1320,CD
70,img_70,1920,0.99555886,1920,Musique amplifiée
71,img_71,2060,0.6280744,2583,Articles soins
72,img_72,1280,0.6805551,1920,Accessoires téléphones
73,img_73,2705,0.9705809,2705,Accessoires console
74,img_74,10,0.43454775,2280,Livres
75,img_75,1320,0.7715112,1320,CD
76,img_76,2583,0.99317545,2583,Articles sport
77,img_77,2585,0.41521493,2583,Sports & Loisirs
78,img_78,2522,0.5513832,2522,Équipement bébé
79,img_79,40,0.9097703,40,DVD & Films
80,img_80,2583,0.6378258,2583,Articles sport
81,img_81,2280,0.6596254,10,Jeux vidéo
82,img_82,1560,0.80152583,1560,Photos
83,img_83,2280,0.62224156,2280,Jeux vidéo
84,img_84,1920,0.27987364,2522,Musique amplifiée
85,img_85,1300,0.9761487,1300,Jeux vidéo ancien
86,img_86,1920,0.99129945,1920,Musique amplifiée
87,img_87,50,0.18896317,1300,Jouets & Jeux
88,img_88,1160,0.2562429,1160,Électroménager
89,img_89,2280,0.7103371,2403,Jeux vidéo
90,img_90,2403,0.94206494,2403,Livres en langues étrangères
91,img_91,1300,0.9878726,1280,Jeux vidéo ancien
92,img_92,2583,0.79290384,2583,Articles sport
93,img_93,1302,0.2977409,1560,Jeux vidéo rétro
94,img_94,2585,0.64091986,1301,Sports & Loisirs
95,img_95,2462,0.5967477,2462,Fournitures bureau
96,img_96,1560,0.96822095,1560,Photos
97,img_97,2522,0.8853884,2522,Équipement bébé
98,img_98,1301,0.81313825,1301,Consoles rétro
99,img_99,2582,0.40492997,2582,Matériel & accessoires
100,img_100,2522,0.81094843,2522,Équipement bébé
101,img_101,2582,0.3649415,1320,Matériel & accessoires
102,img_102,1281,0.3804534,1280,Téléphonie fixe
103,img_103,2522,0.22827022,1320,Équipement bébé
104,img_104,1920,0.9980281,1920,Musique amplifiée
105,img_105,50,0.47070205,50,Jouets & Jeux
106,img_106,1160,0.2646802,2583,Électroménager
107,img_107,1160,0.9971976,1160,Électroménager
108,img_108,1940,0.78055185,1940,Instrument musique
109,img_109,2905,0.9003841,2905,Instruments musique
110,img_110,1302,0.44980758,1302,Jeux vidéo rétro
111,img_111,2462,0.34322295,2280,Fournitures bureau
112,img_112,1281,0.25485858,1281,Téléphonie fixe
113,img_113,2583,0.8966346,2583,Articles sport
114,img_114,2403,0.48369655,1281,Livres en langues étrangères
115,img_115,2220,0.9963965,2220,Puériculture
116,img_116,1300,0.9804654,1300,Jeux vidéo ancien
117,img_117,1140,0.9492974,1140,TV
118,img_118,50,0.73417526,1300,Jouets & Jeux
119,img_119,10,0.95111394,2705,Livres
120,img_120,2220,0.49355206,2522,Puériculture
121,img_121,1320,0.85993487,1320,CD
122,img_122,2583,0.954889,2583,Articles sport
123,img_123,1300,0.97654825,1300,Jeux vidéo ancien
124,img_124,2583,0.99811053,2583,Articles sport
125,img_125,1300,0.32358956,1300,Jeux vidéo ancien
126,img_126,1140,0.9886953,1140,TV
127,img_127,1300,0.8143517,1300,Jeux vidéo ancien
128,img_128,1160,0.8904374,1160,Électroménager
129,img_129,2280,0.9997323,2280,Jeux vidéo
130,img_130,1160,0.9036854,1160,Électroménager
131,img_131,2583,0.9863007,2583,Articles sport
132,img_132,2060,0.441256,1560,Articles soins
133,img_133,1920,0.99098456,1920,Musique amplifiée
134,img_134,2060,0.5812349,2060,Articles soins
