sample_id,true_label,true_class_name,predicted_label,predicted_class_name,confidence,error_type,text_sample
5,10,Livres,2705,Accessoires console,0.8180656875208365,high_confidence,Le Silence Des Anges 
8,40,DVD & Films,2462,Fournitures bureau,0.768896063945384,high_confidence,Assassin's Creed Revelations Collectors Edition [Jeu Xbox 360] 
14,2280,Jeux vidéo,10,Livres,0.31592207014210477,low_confidence,Carola - Jean Renoir - Leslie Caron - 1973 - Avant-Scène Théâtre N° 597 
26,2403,Livres en langues étrangères,10,Livres,0.28590016415549563,low_confidence,Catalogue Phildar N°607 Modèles D'accessoires Femme À Tricoter 
28,2280,Jeux vidéo,2403,Livres en langues étrangères,0.8775661219843093,high_confidence,Sharon Stone : Lot De Coupures De Presse 
30,2462,Fournitures bureau,50,Jouets & Jeux,0.9532539573571358,high_confidence,Skylanders Giants + Le Plateau 
33,2280,Jeux vidéo,10,Livres,0.28993367692287225,low_confidence,Midam Kid Paddle Plan De Communication 2007 
47,2583,Articles sport,1302,Jeux vidéo rétro,0.2630947554920962,low_confidence,Jeu de sonde avec câblage pour ligne d'eau Ce jeu de sonde d&#39;une longueur de un mètre pour ligne d&#39;eau possède une connectique à deux broches à relier sur la carte électronique de votre jacuzz...
60,2583,Articles sport,2705,Accessoires console,0.4999476160312015,low_confidence,Piscine hors sol en acier ovale 5x3x132m GRE - KITPROV508PO Kit piscine paroi acier d&eacute;montable de 5.00 de longeur x 3.00 de largeur x 1.32 m de hauteur. Profitez d&egrave;s &agrave; pr&eacute;s...
68,2585,Sports & Loisirs,2060,Articles soins,0.41728591610807664,low_confidence,Halloween Masque bouche d'horreur effrayant visage Fancy dents Zombies cadeau sanglant Horrific okadaopa110 Scary Halloween Horror bouche Masque visage Fancy dents Zombies cadeau sanglant Horrific Fea...
70,1920,Musique amplifiée,2060,Articles soins,0.9525809108288111,high_confidence,Taie Canapé Voiture Taille Throw Coussin Décoration Pillow Case 24098 Taie Sofa taille voiture Throw Coussin Accueil Décoration Description: 100% tout neuf mode camouflage parfait pour place sur le ca...
