,in_test,in_train_original,in_train_balanced,is_ignored
0,False,True,False,True
1,True,False,False,False
2,False,True,True,False
3,False,True,True,False
4,False,True,True,False
5,False,True,False,True
6,True,False,False,False
7,False,True,False,True
8,False,True,False,True
9,False,True,True,False
10,False,True,True,False
11,False,True,False,True
12,True,False,False,False
13,False,True,False,True
14,False,True,False,True
15,False,True,True,False
16,False,True,False,True
17,False,True,False,True
18,False,True,True,False
19,False,True,False,True
20,False,True,False,True
21,False,True,False,True
22,False,True,True,False
23,False,True,True,False
24,False,True,True,False
25,False,True,True,False
26,False,True,True,False
27,False,True,True,False
28,False,True,True,False
29,False,True,False,True
30,False,True,False,True
31,True,False,False,False
32,False,True,False,True
33,True,False,False,False
34,False,True,True,False
35,False,True,True,False
36,True,False,False,False
37,False,True,True,False
38,False,True,True,False
39,False,True,False,True
40,True,False,False,False
41,False,True,True,False
42,True,False,False,False
43,False,True,True,False
44,False,True,True,False
45,False,True,True,False
46,False,True,True,False
47,False,True,True,False
48,False,True,True,False
49,False,True,True,False
50,False,True,True,False
51,False,True,True,False
52,False,True,True,False
53,False,True,False,True
54,False,True,True,False
55,False,True,False,True
56,False,True,True,False
57,False,True,True,False
58,False,True,False,True
59,False,True,False,True
60,False,True,True,False
61,False,True,True,False
62,False,True,True,False
63,False,True,True,False
64,False,True,False,True
65,False,True,False,True
66,False,True,True,False
67,False,True,True,False
68,False,True,False,True
69,False,True,False,True
70,False,True,True,False
71,True,False,False,False
72,False,True,True,False
73,False,True,True,False
74,False,True,True,False
75,True,False,False,False
76,False,True,True,False
77,False,True,False,True
78,False,True,True,False
79,False,True,True,False
80,False,True,True,False
81,True,False,False,False
82,False,True,True,False
83,True,False,False,False
84,True,False,False,False
85,False,True,True,False
86,False,True,True,False
87,False,True,False,True
88,False,True,False,True
89,False,True,True,False
90,False,True,False,True
91,False,True,False,True
92,False,True,False,True
93,False,True,True,False
94,False,True,True,False
95,False,True,True,False
96,False,True,True,False
97,True,False,False,False
98,False,True,True,False
99,False,True,True,False
100,False,True,True,False
101,False,True,True,False
102,False,True,True,False
103,False,True,True,False
104,False,True,True,False
105,False,True,False,True
106,False,True,True,False
107,False,True,True,False
108,False,True,False,True
109,False,True,False,True
110,False,True,True,False
111,False,True,True,False
112,True,False,False,False
113,False,True,True,False
114,False,True,True,False
115,False,True,True,False
116,False,True,False,True
117,False,True,False,True
118,True,False,False,False
119,False,True,True,False
120,True,False,False,False
121,False,True,False,True
122,False,True,False,True
123,False,True,False,True
124,False,True,True,False
125,False,True,True,False
126,False,True,True,False
127,False,True,False,True
128,False,True,False,True
129,True,False,False,False
130,False,True,False,True
131,False,True,True,False
132,False,True,False,True
133,True,False,False,False
134,False,True,True,False
135,False,True,True,False
136,False,True,False,True
137,False,True,True,False
138,False,True,True,False
139,False,True,False,True
140,False,True,True,False
141,True,False,False,False
142,True,False,False,False
143,False,True,True,False
144,True,False,False,False
145,False,True,False,True
146,False,True,False,True
147,False,True,False,True
148,False,True,True,False
149,False,True,True,False
150,False,True,True,False
151,True,False,False,False
152,False,True,False,True
153,False,True,True,False
154,False,True,True,False
155,False,True,True,False
156,False,True,False,True
157,False,True,True,False
158,True,False,False,False
159,False,True,False,True
160,False,True,True,False
