original_index,imageid,predicted_category,prediction_probability,true_category,predicted_category_name
0,img_0,10,0.22267984,1301,Livres
1,img_1,24,0.2750991,1560,Catégorie 24
2,img_2,24,0.62813807,2583,Catégorie 24
3,img_3,5,0.98804665,1160,Catégorie 5
4,img_4,0,0.84035623,2403,Catégorie 0
5,img_5,0,0.7909434,10,Catégorie 0
6,img_6,16,0.8475339,2060,Catégorie 16
7,img_7,23,0.6632058,2583,Catégorie 23
8,img_8,4,0.21391913,40,Catégorie 4
9,img_9,26,0.91214716,2905,Catégorie 26
10,img_10,20,0.234117,1280,Catégorie 20
11,img_11,18,0.5640745,2280,Catégorie 18
12,img_12,21,0.9157064,2522,Catégorie 21
13,img_13,18,0.5311163,2280,Catégorie 18
14,img_14,18,0.8157594,2280,Catégorie 18
15,img_15,4,0.20667526,1560,Catégorie 4
16,img_16,21,0.87486416,2522,Catégorie 21
17,img_17,14,0.17786828,1920,Catégorie 14
18,img_18,18,0.9543534,2280,Catégorie 18
19,img_19,12,0.4314262,2585,Catégorie 12
20,img_20,16,0.98124737,1280,Catégorie 16
21,img_21,18,0.96987593,2280,Catégorie 18
22,img_22,4,0.4113726,1280,Catégorie 4
23,img_23,8,0.10561932,1281,Catégorie 8
24,img_24,15,0.15919757,1940,Catégorie 15
25,img_25,13,0.9649069,1560,Catégorie 13
26,img_26,25,0.31424165,2403,Catégorie 25
27,img_27,9,0.5842353,1300,Catégorie 9
28,img_28,19,0.8857697,2280,Catégorie 19
29,img_29,11,0.5187101,2583,Catégorie 11
30,img_30,19,0.17474842,2462,Catégorie 19
31,img_31,7,0.53689504,1280,Catégorie 7
32,img_32,20,0.62991726,40,Catégorie 20
33,img_33,0,0.5186756,2280,Catégorie 0
34,img_34,9,0.37385267,1300,Catégorie 9
35,img_35,5,0.9547932,1160,Catégorie 5
36,img_36,5,0.7013968,1160,Catégorie 5
37,img_37,2,0.38142097,1320,Catégorie 2
38,img_38,25,0.15949968,1920,Catégorie 25
39,img_39,16,0.51688045,2060,Catégorie 16
40,img_40,1,0.14065598,1140,Catégorie 1
41,img_41,9,0.5997755,1300,Catégorie 9
42,img_42,0,0.7168525,2705,Catégorie 0
43,img_43,4,0.78224355,1140,Catégorie 4
44,img_44,22,0.4781376,2582,Catégorie 22
45,img_45,2,0.94895786,50,Catégorie 2
46,img_46,20,0.93078315,1140,Catégorie 20
47,img_47,2,0.8499245,2583,Catégorie 2
48,img_48,15,0.7385,1940,Catégorie 15
49,img_49,7,0.61244416,1280,Catégorie 7
50,img_50,1,0.8643161,40,Catégorie 1
51,img_51,25,0.9528276,2705,Catégorie 25
52,img_52,7,0.5984746,1560,Catégorie 7
53,img_53,19,0.71906775,2403,Catégorie 19
54,img_54,22,0.9177629,2582,Catégorie 22
55,img_55,1,0.41826564,1160,Catégorie 1
56,img_56,22,0.2875276,1302,Catégorie 22
57,img_57,3,0.9723354,60,Catégorie 3
58,img_58,26,0.98396516,2905,Catégorie 26
59,img_59,18,0.42431352,40,Catégorie 18
60,img_60,23,0.99157095,2583,Catégorie 23
