,accuracy,weighted_f1,model_type,fusion_strategy
text_only,0.8116462552991051,0.8160586654723035,text,
xgboost_only,0.6194065002355158,0.6222616799261312,image,
xgboost_mean,0.8359632595383891,0.8339339120114871,multimodal,mean
xgboost_product,0.8392604804521903,0.83875043234546,multimodal,product
xgboost_weighted,0.8426754592557701,0.841433042725909,multimodal,weighted
xgboost_confidence_weighted,0.8344324069712671,0.8323896104345703,multimodal,confidence_weighted
neural_net_only,0.6235280263777673,0.6270189592904739,image,
neural_net_mean,0.8309585492227979,0.829403626923487,multimodal,mean
neural_net_product,0.8325482807348092,0.8320986842269686,multimodal,product
neural_net_weighted,0.8373763542157324,0.8364111362751213,multimodal,weighted
neural_net_confidence_weighted,0.8309585492227979,0.829399065632425,multimodal,confidence_weighted
