sample_id,true_label,true_class_name,text_prediction,text_class_name,text_confidence,text_correct,image_prediction,image_class_name,image_confidence,image_correct,fused_prediction,fused_class_name,fused_confidence,fused_correct,fusion_strategy,agreement_text_image,best_individual,fusion_improved
0,1301,Consoles rétro,1301,Consoles rétro,0.9996897849282571,True,1301,Consoles rétro,0.36433002,True,10,Livres,0.7455458863282769,False,weighted,True,text,False
1,1560,Photos,1560,Photos,0.7846701372542343,True,2060,Articles soins,0.4674456,False,13,Unknown_13,0.5005205652194238,False,weighted,False,text,False
2,2583,Articles sport,2583,Articles sport,0.9999975995540022,True,1300,Jeux vidéo ancien,0.4905478,False,23,Unknown_23,0.6912396810245156,False,weighted,False,text,False
3,1160,Électroménager,1160,Électroménager,0.994810862717758,True,1160,Électroménager,0.99608314,True,5,Unknown_5,0.9953197857008758,False,weighted,True,image,False
4,2403,Livres en langues étrangères,2403,Livres en langues étrangères,0.9298424553630716,True,10,Livres,0.76632464,False,19,Unknown_19,0.6302534569357614,False,weighted,False,text,False
5,10,Livres,2705,Accessoires console,0.8180656875208365,False,10,Livres,0.42227897,True,25,Unknown_25,0.5104686711749642,False,weighted,False,text,False
6,2060,Articles soins,2060,Articles soins,0.9766460953097819,True,2060,Articles soins,0.8907698,True,16,Unknown_16,0.9422955809796618,False,weighted,True,text,False
7,2583,Articles sport,2583,Articles sport,0.9998412850487645,True,2583,Articles sport,0.9721594,True,23,Unknown_23,0.988768543183113,False,weighted,True,text,False
8,40,DVD & Films,2462,Fournitures bureau,0.768896063945384,False,1140,TV,0.21438399,False,20,Unknown_20,0.464849490719179,False,weighted,False,text,False
9,2905,Instruments musique,2905,Instruments musique,0.9994321977272828,True,2905,Instruments musique,0.9773586,True,26,Unknown_26,0.9906027564510822,False,weighted,True,text,False
10,1280,Accessoires téléphones,1280,Accessoires téléphones,0.5061869354233008,True,50,Jouets & Jeux,0.13128568,False,7,Unknown_7,0.3073184767233498,False,weighted,False,text,False
11,2280,Jeux vidéo,2280,Jeux vidéo,0.9955561048034386,True,2280,Jeux vidéo,0.5430067,True,18,Unknown_18,0.8145363561060164,False,weighted,True,text,False
12,2522,Équipement bébé,2522,Équipement bébé,0.9962592598958193,True,2522,Équipement bébé,0.7940702,True,21,Unknown_21,0.9153836415507423,False,weighted,True,text,False
13,2280,Jeux vidéo,2280,Jeux vidéo,0.9137429629744862,True,10,Livres,0.5074482,False,18,Unknown_18,0.6968555203069314,False,weighted,False,text,False
