sample_id,true_label,true_class_name,predicted_label,predicted_class_name,confidence,correct,text_sample
0,1301,Consoles rétro,1301,Consoles rétro,0.9996897849282571,True,Bas de filles pour les enfants Enfants Collant Coton bébé Stocking BK L-Auucne Filles Bas Enfants En...
1,1560,Photos,1560,Photos,0.7846701372542343,True,Cosmic Planète Series En Peluche Avec Capuche Couverture Lichens Couverture À Capuchon 150x200cm Bla...
2,2583,Articles sport,2583,Articles sport,0.9999975995540022,True,dolphin - robot électrique de piscine fond parois et ligne d'eau avec chariot master e4 dolphin dolp...
3,1160,Électroménager,1160,Électroménager,0.994810862717758,True,Haydaim  14/114 Pokemon Noir Et Blanc 
4,2403,Livres en langues étrangères,2403,Livres en langues étrangères,0.9298424553630716,True,Lot 4 Livres Partitions Piano Bach (Busoni) - Le Clavier Bien Tempéré Band 1 Vol 1 & 2 & 3 & 4 (Bwv ...
5,10,Livres,2705,Accessoires console,0.8180656875208365,False,Le Silence Des Anges 
6,2060,Articles soins,2060,Articles soins,0.9766460953097819,True,5d Broderie Peintures Strass Diamant Bricolage Pasted Peinture Point De Croix 5D broderie Peintures ...
7,2583,Articles sport,2583,Articles sport,0.9998412850487645,True,Pompe de Piscine 9000l/h Circulation 140W avec Filtre Helloshop26 3116053 <p>SunSun Pompe de Piscine...
8,40,DVD & Films,2462,Fournitures bureau,0.768896063945384,False,Assassin's Creed Revelations Collectors Edition [Jeu Xbox 360] 
9,2905,Instruments musique,2905,Instruments musique,0.9994321977272828,True,Enigmes Et Objets Cachés : La Malédiction De Sang - Jeu En Téléchargement <b>Partez à la poursuite d...
10,1280,Accessoires téléphones,1280,Accessoires téléphones,0.5061869354233008,True,Track Curve 18 18 Pair The track that comes with your AFX set is just the tip of the iceberg. The va...
11,2280,Jeux vidéo,2280,Jeux vidéo,0.9955561048034386,True,Touring Club De France N° 835 Du 01/03/1972 HOMMAGE A LA BRETAGNE.
12,2522,Équipement bébé,2522,Équipement bébé,0.9962592598958193,True,Kit Pour Confectionner 3 Pompons De 20 Cm Soit 24 Feuilles De Papier De Soie Bleu Marine kit de 24 f...
13,2280,Jeux vidéo,2280,Jeux vidéo,0.9137429629744862,True,Construction Moderne (La) N° 42 Du 16/07/1933 - Les Grandes Eaux De Versailles. 
14,2280,Jeux vidéo,10,Livres,0.31592207014210477,False,Carola - Jean Renoir - Leslie Caron - 1973 - Avant-Scène Théâtre N° 597 
15,1560,Photos,1560,Photos,0.7915280724588862,True,Bricolage Chocolat Moule De Cuisson En Silicone Noël Biscuit Gélifiés Cuisson Kitchen Supplies 9546 ...
16,2522,Équipement bébé,2522,Équipement bébé,0.9914919218713036,True,Paper:Mate Lot De 12 Stylos À Bille Inkjoy 100 Couleur De Tracé: Bleu Paper:Mate Stylo à bille InkJo...
17,1920,Musique amplifiée,1920,Musique amplifiée,0.9771749153692874,True,Belle Scène Scenery Home Textile Mur Tapisserie Home Decor@Hpp4456 Belle Scène Scenery Home Textile ...
18,2280,Jeux vidéo,2280,Jeux vidéo,0.9716012156154759,True,France Soir N° 16875 Du 06/11/1998 - Dopage - Le Tour De France - Amerique Centrale - Cycloe - Seism...
19,2585,Sports & Loisirs,2585,Sports & Loisirs,0.8307669494132047,True,BATI JET' PRO - Pulvérisateur Electrique Autonome Fonctionne sur batterie rechargeable. Autonomie en...
20,1280,Accessoires téléphones,1280,Accessoires téléphones,0.6725505503994221,True,Bas De Noël 18 Pouces Avec Grand Flocon De Neige Bas Plaid Pour Candy Hu6014 Bas de Noël 18 __gVirt_...
21,2280,Jeux vidéo,2280,Jeux vidéo,0.7346171855941135,True,Je Fais Tout N° 169 Du 06/07/1932 - La Constitution D'un Materiel Complet Pour Le Cyclo-Camping La C...
